sentence_id,words,labels
0,A,B-C
0,collision,I-C
0,hazard,I-C
0,in,O
0,the,O
0,environment,O
0,ahead,O
0,was,O
0,detected,O
0,by,O
0,the,O
0,"software,",O
0,which,O
0,triggered,O
0,an,B-E
0,Estop,I-E
1,The,B-C
1,weather,I-C
1,caused,O
1,a,B-CE
1,lidar,I-CE
1,impact,I-CE
1,that,O
1,the,O
1,software,O
1,interpereted,O
1,as,O
1,an,O
1,obstacle,O
1,and,O
1,caused,O
1,an,B-E
1,Estop,I-E
2,The,O
2,Test,O
2,Driver,O
2,chose,O
2,to,O
2,stop,O
2,preemtively,O
2,to,O
2,let,O
2,a,O
2,pedestrian,O
2,clear,O
2,from,O
2,the,O
2,AV's,O
2,path,O
3,The,O
3,Test,O
3,Driver,O
3,saw,O
3,an,O
3,inanimate,O
3,obstacle,O
3,ahead,O
3,and,O
3,preemtively,O
3,triggered,O
3,a,B-E
3,soft,I-E
3,stop,I-E
4,The,O
4,Test,O
4,Driver,O
4,chose,O
4,to,O
4,stop,O
4,preemtively,O
4,to,O
4,let,O
4,another,O
4,vehicle,O
4,clear,O
4,from,O
4,the,O
4,AV's,O
4,path,O
5,The,B-C
5,software,I-C
5,detected,O
5,a,O
5,pedestrian,O
5,in,O
5,the,O
5,AV's,O
5,path,O
5,and,O
5,triggered,O
5,an,B-E
5,Estop,I-E
6,The,B-C
6,software,I-C
6,detected,O
6,an,O
6,inanimate,O
6,object,O
6,in,O
6,the,O
6,AV's,O
6,path,O
6,and,O
6,triggered,O
6,an,B-E
6,Estop,I-E
7,The,B-C
7,software,I-C
7,detected,O
7,another,O
7,vehicle,O
7,in,O
7,the,O
7,AV's,O
7,path,O
7,and,O
7,triggered,O
7,an,B-E
7,Estop,I-E
8,The,O
8,Test,O
8,Driver,O
8,chose,O
8,to,O
8,stop,O
8,preemtively,O
8,to,O
8,let,O
8,a,O
8,cyclist,O
8,clear,O
8,from,O
8,the,O
8,AV's,O
8,path,O
9,Planning,O
9,Discrepancy:,O
9,Failure,O
9,to,O
9,yield,O
9,to,O
9,other,O
9,actors,O
10,Perception,O
10,Discrepancy:,O
10,Lost,O
10,track,O
10,of,O
10,open,O
10,door,O
10,of,O
10,parked,O
10,vehicle,O
11,Planning,B-E
11,Module,I-E
11,Failure,I-E
11,due,O
11,to,O
11,software,B-C
11,issue,I-C
12,Planning,O
12,Discrepancy:,O
12,AV,O
12,reacted,O
12,poorly,O
12,for,O
12,merging,O
12,vehicle,O
13,Planning,O
13,Discrepancy:,O
13,Poor,O
13,lane,O
13,change,O
13,in,O
13,contested,O
13,target,O
13,lane,O
14,Planning,O
14,Discrepancy:,O
14,Incorrect,O
14,behavior,O
14,at,O
14,traffic,O
14,light,O
15,Driver,O
15,performed,O
15,steering,O
15,maneuver,O
15,because,O
15,the,O
15,vehicle,O
15,didnt,O
15,drive,O
15,on,O
15,the,O
15,expected,O
15,path.,O
15,Vehicle,O
15,not,O
15,in,O
15,an,O
15,active,O
15,construction,O
