sentence_id,words,labels
0,a,B-C-6
0,collision,I-C-6
0,hazard,I-C-6
0,in,O
0,the,O
0,environment,O
0,ahead,O
0,was,O
0,detected,O
0,by,O
0,the,O
0,software,O
0,",",O
0,which,O
0,triggered,O
0,an,B-E
0,estop,I-E
1,the,B-C-6
1,weather,I-C-6
1,caused,O
1,a,B-CE-0
1,lidar,I-CE-0
1,impact,I-CE-0
1,that,O
1,the,O
1,software,O
1,interpereted,O
1,as,O
1,an,O
1,obstacle,O
1,and,O
1,caused,O
1,an,B-E
1,estop,I-E
2,the,O
2,test,O
2,driver,O
2,chose,O
2,to,O
2,stop,O
2,preemtively,O
2,to,O
2,let,O
2,a,O
2,pedestrian,O
2,clear,O
2,from,O
2,the,O
2,av,O
2,s,O
2,path,O
3,the,B-C-4
3,test,I-C-4
3,driver,I-C-4
3,saw,O
3,an,O
3,inanimate,O
3,obstacle,O
3,ahead,O
3,and,O
3,preemtively,O
3,triggered,O
3,a,B-E
3,soft,I-E
3,stop,I-E
4,the,O
4,test,O
4,driver,O
4,chose,O
4,to,O
4,stop,O
4,preemtively,O
4,to,O
4,let,O
4,another,O
4,vehicle,O
4,clear,O
4,from,O
4,the,O
4,av,O
4,s,O
4,path,O
5,the,B-C-0
5,software,I-C-0
5,detected,O
5,a,O
5,pedestrian,O
5,in,O
5,the,O
5,av,O
5,s,O
5,path,O
5,and,O
5,triggered,O
5,an,B-E
5,estop,I-E
6,the,B-C-0
6,software,I-C-0
6,detected,O
6,an,O
6,inanimate,O
6,object,O
6,in,O
6,the,O
6,av,O
6,s,O
6,path,O
6,and,O
6,triggered,O
6,an,B-E
6,estop,I-E
7,the,B-C-0
7,software,I-C-0
7,detected,O
7,another,O
7,vehicle,O
7,in,O
7,the,O
7,av,O
7,s,O
7,path,O
7,and,O
7,triggered,O
7,an,B-E
7,estop,I-E
8,the,O
8,test,O
8,driver,O
8,chose,O
8,to,O
8,stop,O
8,preemtively,O
8,to,O
8,let,O
8,a,O
8,cyclist,O
8,clear,O
8,from,O
8,the,O
8,av,O
8,s,O
8,path,O
9,unexpected,B-C-5
9,or,I-C-5
9,reckless,I-C-5
9,behavior,I-C-5
9,of,O
9,other,O
9,road,O
9,user,O
10,planning,B-C-2
10,discrepancy,I-C-2
10,:,O
10,failure,O
10,to,O
10,yield,O
10,to,O
10,other,O
10,actors,O
11,planning,B-C-2
11,discrepancy,I-C-2
11,:,O
11,incorrect,O
11,behavior,O
11,while,O
11,following,O
11,a,O
11,vehicle,O
12,planning,B-E
12,module,I-E
12,failure,I-E
12,due,O
12,to,O
12,software,B-C-7
12,issue,I-C-7
13,planning,B-C-2
13,discrepancy,I-C-2
13,:,O
13,poor,O
13,trajectory,O
13,across,O
13,lanes,O
14,planning,B-E
14,module,I-E
14,failure,I-E
14,due,O
14,to,O
14,mapping,B-C-1
14,issue,I-C-1
15,planning,B-C-2
15,discrepancy,I-C-2
15,:,O
15,poor,O
15,lane,O
15,change,O
15,in,O
15,contested,O
15,target,O
15,lane,O
16,perception,B-C-0
16,discrepancy,I-C-0
16,:,O
16,lost,O
16,track,O
16,of,O
16,open,O
16,door,O
16,of,O
16,parked,O
16,vehicle,O
17,planning,B-C-2
17,discrepancy,I-C-2
17,:,O
17,av,O
17,reacted,O
17,poorly,O
17,for,O
17,merging,O
17,vehicle,O
18,planning,B-C-2
18,discrepancy,I-C-2
18,:,O
18,incorrect,O
18,behavior,O
18,at,O
18,traffic,O
18,light,O
19,driver,O
19,performed,O
19,steering,O
19,maneuver,O
19,because,O
19,the,O
19,vehicle,O
19,didnt,O
19,drive,O
19,on,O
19,the,O
19,expected,O
19,path,O
19,.,O
19,vehicle,O
19,not,O
19,in,O
19,an,O
19,active,O
19,construction,O
19,zone,O
19,.,O
19,no,O
19,emergency,O
19,vehicles,O
19,or,O
19,collisions,O
19,present,O
19,in,O
19,the,O
19,vicinity,O
19,.,O
19,weather,O
19,and,O
19,/,O
19,or,O
19,road,O
19,conditions,O
19,dry,O
19,in,O
19,the,O
19,area,O
19,.,O
20,disengage,B-E
20,for,O
20,unwanted,B-C-3
20,maneuver,I-C-3
20,of,O
