sentence_id,words,labels
0,The,O
0,images,O
0,show,O
0,a,O
0,group,O
0,of,O
0,men,O
0,that,O
0,detectives,O
0,want,O
0,to,O
0,question,O
1,The,O
1,developmental,O
1,bureaucracy,O
1,has,O
1,come,O
1,into,O
1,being,O
2,NASA,O
2,Kepler,O
2,mission,O
2,sends,O
2,names,O
2,into,O
2,space,O
3,The,O
3,chassis,O
3,of,O
3,the,O
3,truck,O
3,has,O
3,two,O
3,wooden,O
3,beams,O
3,fixed,O
3,to,O
3,it,O
3,",",O
3,which,O
3,carry,O
3,the,O
3,body,O
3,framework,O
3,;,O
3,two,O
3,monorails,O
4,By,O
4,the,O
4,late,O
4,1980s,O
4,",",O
4,however,O
4,",",O
4,the,O
4,Bank,O
4,was,O
4,caught,O
4,up,O
4,in,O
4,the,B-E
4,debt,I-E
4,crisis,I-E
4,in,O
4,the,O
4,developing,O
4,world,O
4,caused,O
4,by,O
4,the,B-C
4,recession,I-C
4,and,O
4,the,B-C
4,dramatic,I-C
4,rise,I-C
4,in,O
4,interest,O
4,rates,O
5,Intuitively,O
5,stack,O
5,is,O
5,visualized,O
5,as,O
5,indeed,O
5,a,O
5,stack,O
5,of,O
5,objects,O
6,Northern,O
6,Michigan,O
6,towns,O
6,hosts,O
6,an,O
6,array,O
6,of,O
6,Yuletide,O
6,events,O
7,This,O
7,book,O
7,has,O
7,transported,O
7,readers,O
7,into,O
7,ancient,O
7,times,O
8,Brake,O
8,cable,O
8,anchor,O
8,bolts,O
8,are,O
8,the,O
8,most,O
8,important,O
8,fasteners,O
8,on,O
8,a,O
8,bicycle,O
9,Instead,O
9,of,O
9,"""",O
9,dominance,O
9,"""",O
9,and,O
9,"""",O
9,submission,O
9,"""",O
9,",",O
9,he,O
9,uses,O
9,the,O
9,terms,O
9,"""",O
9,assertiveness,O
9,"""",O
9,and,O
9,"""",O
9,passiveness,O
9,"""",O
9,to,O
9,reflect,O
9,the,O
9,role,O
9,of,O
9,the,O
9,wolf,O
9,in,O
9,the,O
9,pack,O
10,When,O
10,opened,O
10,to,O
10,its,O
10,tote,O
10,bag,O
10,form,O
10,",",O
10,it,O
10,looks,O
10,like,O
10,a,O
10,unsubstantial,O
10,tote,O
10,bag,O
10,with,O
10,a,O
10,compartment,O
10,for,O
10,the,O
10,umbrella,O
11,Characters,O
11,native,O
11,to,O
11,the,O
11,African,O
11,continent,O
11,have,O
11,been,O
11,depicted,O
